ItemNum,ItemName,Cost,Price,Retail_Price,Tax_1,AltSku,Dept_ID,ItemName_Extra,Count_This_Item,Print_On_Receipt,AllowReturns
700118826676,RUSSIAN VALUE  50ML,0.36000000,0.49000000,0.00000000,True,700118826676,VODKA,.,False,True,True
700330000168,WELLS BANANA BREAD 500ML,3.82000000,4.99000000,0.00000000,True,700330000168,BEER,.,False,True,True
700330000212,WELLS BANANA 4PK,7.72000000,9.99000000,0.00000000,True,700330000212,BEER,.,False,True,True
700330000335,WELL STIC TOFFEE PUD 4PK,8.57000000,10.99000000,0.00000000,True,700330000335,BEER,.,False,True,True
700445240060,SEA DOG BLUEBERRY WHEAT 4/6/12,0.00000000,0.00000000,0.00000000,False,700445240060,NONE,.,False,True,True
700465146991,STILL POND PEACH 375ML,12.10000000,9.99000000,0.00000000,True,700465146991,WHISKY,.,False,True,True
700465147004,STILL POND PEACH 100ML,2.61000000,3.99000000,0.00000000,True,700465147004,WHISKY,.,False,True,True
700465147011,STILL POND MUSCADINE 375ML,12.10000000,9.99000000,0.00000000,True,700465147011,WHISKY,.,False,True,True
700465147028,STILL POND MUSCADINE 100ML,2.61000000,3.99000000,0.00000000,True,700465147028,WHISKY,.,False,True,True
700465147035,STILL POND DOUBLE BARE 375ML,12.10000000,9.99000000,0.00000000,True,700465147035,WHISKY,.,False,True,True
700465147042,STILL POND DOUBLE BARREL 100ML,2.61000000,3.99000000,0.00000000,True,700465147042,WHISKY,.,False,True,True
700879120068,TOMMY NO KER BUTT BOCK 6PK,9.57000000,11.99000000,0.00000000,True,700879120068,BEER,.,False,True,True
700879340060,TOMMYK NUT BROWN ALE 6PK,9.57000000,12.99000000,0.00000000,True,700879340060,NONE,.,False,True,True
701145002224,22Z BAYHAWK PALE ALE,0.00000000,0.00000000,0.00000000,False,701145002224,NONE,.,False,True,True
701145005225,22Z BAYHAWK CHOCOLATE PORTER,0.00000000,0.00000000,0.00000000,False,701145005225,NONE,.,False,True,True
701253002000,GRUET BRUT 750ML,13.25000000,16.99000000,0.00000000,True,701253002000,14,.,False,True,True
701253003007,GRUET BLANC DE NOIRS 750ML,11.76000000,14.99000000,0.00000000,True,701253003007,14,.,False,True,True
701253004004,GRUET DEMI SEC 750ML,13.24000000,16.99000000,0.00000000,True,701253004004,14,.,False,True,True
701253007005,GRUET EXTRA DRY 750ML,12.30000000,15.99000000,0.00000000,True,701253007005,14,.,False,True,True
701254521500,RUSALKA VODKA 750ML,4.02000000,7.99000000,0.00000000,True,701254521500,VODKA,.,False,True,True
701254521555,RUSALKA VODKA 1L,7.99000000,9.99000000,0.00000000,True,701254521555,VODKA,.,False,True,True
701254521609,RUSALKA VODKA 1.75L,15.02000000,17.99000000,0.00000000,True,701254521609,VODKA,.,False,True,True
701530510501,PARTIDA SILVER 750ML,39.99000000,45.99000000,0.00000000,True,701530510501,TEQUILA,.,False,True,True
701530511508,PARTIDA REPOSADO 750ML,46.39000000,57.99000000,0.00000000,True,701530511508,TEQUILA,.,False,True,True
701530512505,PARTIDA ANEJO 750ML,48.22000000,65.99000000,0.00000000,True,701530512505,TEQUILA,.,False,True,True
702340012025,750ML MT PLEASANT VILLAGIO,0.00000000,0.00000000,0.00000000,False,702340012025,NONE,.,False,True,True
702340070001,750ML MT PLEASANT MO RHINELAND,0.00000000,0.00000000,0.00000000,False,702340070001,NONE,.,False,True,True
702340081014,750ML MT PLEASANT WHITE ZIN,0.00000000,0.00000000,0.00000000,False,702340081014,NONE,.,False,True,True
702340180014,750ML MT PLEASANT HARV SEL RED,0.00000000,0.00000000,0.00000000,False,702340180014,NONE,.,False,True,True
702340190013,750ML MT PLEASANT HARV SEL WHT,0.00000000,0.00000000,0.00000000,False,702340190013,NONE,.,False,True,True
702340200002,750ML MT PLEASANT CATAWBA,0.00000000,0.00000000,0.00000000,False,702340200002,NONE,.,False,True,True
702340230009,750ML MT PLEASANT HIGHLAND RED,0.00000000,0.00000000,0.00000000,False,702340230009,NONE,.,False,True,True
702340310947,750ML MT PLEASANT PORT,0.00000000,0.00000000,0.00000000,False,702340310947,NONE,.,False,True,True
702340320601,750ML MT PLEASANT TAWNY PORT,0.00000000,0.00000000,0.00000000,False,702340320601,NONE,.,False,True,True
702340420004,750ML MT PLEASANT TEN BUCKS,0.00000000,0.00000000,0.00000000,False,702340420004,NONE,.,False,True,True
702770000012,WIDMER HEFEWEIZEN 24/12OZ NR,0.00000000,0.00000000,0.00000000,False,702770000012,NONE,.,False,True,True
702770004010,WIDMER ALCHEMY ALE 6PKNR,7.20000000,9.99000000,0.00000000,True,702770004010,BEER,.,False,True,True
702770007004,HEFE SHANDY SINGLE,0.00000000,1.59000000,0.00000000,True,702770007004,BEER,.,False,True,True
702770007011,WID BROTHER HEFE SHANDY 6PK,7.20000000,9.99000000,0.00000000,True,702770007011,BEER,.,False,True,True
702770058013,UPHEAVAL IPA 6PK,7.99000000,9.99000000,0.00000000,True,702770058013,BEER,.,False,True,True
702770082018,OMMISSION PALE ALE 6PK,0.00000000,9.99000000,0.00000000,True,702770082018,BEER,.,False,True,True
705105792163,DIRTY SUE MARTINI 750ML,5.38000000,7.99000000,0.00000000,True,705105792163,MIXERS,.,False,True,True
705105996646,STEIN RYE BOURBON 750ML,32.91000000,39.99000000,0.00000000,True,705105996646,BOURBON,.,False,True,True
705105996745,STEIN BOURBON 750ML,32.91000000,39.99000000,0.00000000,True,705105996745,BOURBON,.,False,True,True
707596001021,BLUE NUN RIESLING 750ML,6.14000000,8.99000000,0.00000000,True,707596001021,WINE,.,False,True,True
707596001038,750ML BLUE NUN QUALITATS QBA,0.00000000,0.00000000,0.00000000,False,707596001038,NONE,.,False,True,True
707596001052,1.5L BLUE NUN QUALITATS QBA,0.00000000,0.00000000,0.00000000,False,707596001052,NONE,.,False,True,True
707596390385,3.0L BLUE NUN RIESLING,0.00000000,0.00000000,0.00000000,False,707596390385,NONE,.,False,True,True
708553106,BARE FOOT W ZIN 187ML,0.00000000,1.99000000,0.00000000,True,708553106,WINE,SINGLE,False,True,True
709326010020,UINTA HOO DOO 6PK NR,7.08000000,9.99000000,0.00000000,True,709326010020,BEER,.,False,True,True
709326018026,HOP NOTCH IPA 6PK NR,7.08000000,9.99000000,0.00000000,True,709326018026,BEER,.,False,True,True
709326018088,HOP NOSH  6PK CAN,7.08000000,9.99000000,0.00000000,True,709326018088,BEER,.,False,True,True
709326100523,UINTA PEACH IPA 6PKCAN,7.90000000,9.99000000,0.00000000,True,709326100523,BEER,.,False,True,True
709326101186,UINTA LIME PIL 6PKCAN,7.90000000,9.99000000,0.00000000,True,709326101186,BEER,.,False,True,True
710909720106,MER SOLEIL SILV CHARD 750ML,15.35000000,21.99000000,0.00000000,True,710909720106,WINE,UNOAK,False,True,True
711408038273,750M LE FAUX FROG MERLOT,0.00000000,0.00000000,0.00000000,False,711408038273,NONE,.,False,True,True
711408122798,3L FAUX FROG PINOT NOIR BAG IN,0.00000000,0.00000000,0.00000000,False,711408122798,NONE,.,False,True,True
711408418976,750M LE FAUX FROG CHARDONNAY,0.00000000,0.00000000,0.00000000,False,711408418976,NONE,.,False,True,True
